Age,Gender,Education_Status,Employment_Status,Working_Week (Yearly),Industry_Status,Occupation_Status,Race,Hispanic_Origin,Martial_Status,Household_Summary,Citizenship,Birth_Country,Birth_Country (Father),Birth_Country (Mother),Tax_Status
3,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
61,1,College,Full-Time,52,Finance Insurance & Real Estate,Admin Support (include Clerical),White, Mexican-American,Married,Spouse of householder,Native,US,North America,US,Married Filling Jointly both under 65 (MFJ)
40,1,College,Full-Time,52,Retail,Craft & Repair,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
52,0,Associates degree (Academic),Children or Armed Forces,52,Communications,Technicians & Support,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
16,0,High Freshman,Not Working,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Single
23,1,College,Children or Armed Forces,52,Business & Repair,Admin Support (include Clerical),White, Mexican-American,Single,Child 18 or older,Native,US,North America,North America,Single
3,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,Other, Other Spanish,Single,Child under 18 never married,Native,US,North America,North America,Nonfiler
38,1,Associates degree (Vocational),Children or Armed Forces,51,Medical (except Hospitals),Technicians & Support,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
28,1,High,Part-Time (Usually Part-Time),52,Business & Repair,Admin Support (include Clerical),Black, All other,Single,Householder,Native,US,US,US,Single
15,0,High Freshman,Not Working,0,Not in universe or children,Unknown,Black, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
48,1,Associates degree (Academic),Full-Time,52,Hospitals,Admin Support (include Clerical),White, All other,Separated,Nonrelative of householder,Native,US,US,US,Single
16,0,High,Not Working,0,Not in universe or children,Unknown,White, All other,Single,Other relative of householder,Native,US,US,US,Nonfiler
9,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
23,1,Bachelors degree,Children or Armed Forces,52,Finance Insurance & Real Estate,Technicians & Support,White, All other,Single,Child 18 or older,Native,US,US,US,Single
34,1,College,Children or Armed Forces,52,Education,Admin Support (include Clerical),Black, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
9,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
22,1,College,Choice Part-Time,38,Education,Professional,Black, All other,Single,Child 18 or older,Native,US,US,US,Single
34,1,Associates degree (Vocational),Full-Time,52,Hospitals,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
46,1,High,Full-Time,52,Business & Repair,Protective Services,Black, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
41,0,High,Full-Time,50,Construction,Craft & Repair,White, All other,Divorced,Householder,Native,US,US,US,Single
33,1,Bachelors degree,Full-Time,0,Medical (except Hospitals),Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
46,0,College,Full-Time,52,Retail,Craft & Repair,White, All other,Divorced,Householder,Native,US,Europe,US,Single
44,0,College,Children or Armed Forces,52,Utilities & Sanitary,Technicians & Support,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
26,0,High,Full-Time,52,Finance Insurance & Real Estate,Management,Black, All other,Separated,Householder,Native,US,US,US,Head of Household (HOH)
47,1,High,Children or Armed Forces,10,Manufacturing (Non-durable),Machine Operators & Inspectors,White, Central or South American,Married,Spouse of householder,Foreign-born (Non-US Citizen),South America,South America,South America,Married Filling Jointly both under 65 (MFJ)
5,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,Black, All other,Single,Other relative of householder,Native,US,US,US,Nonfiler
57,0,College,Not Working,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
65,1,Elementary(1-6),Children or Armed Forces,52,Retail,Services,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ)
22,1,College,Children or Armed Forces,50,Medical (except Hospitals),Services,White, All other,Single,Child 18 or older,Native,US,US,North America,Single
52,0,High,Children or Armed Forces,52,Retail,Handlers/Cleaners,White, Central or South American,Married,Householder,Foreign-born (Non-US Citizen),South America,South America,South America,Married Filling Jointly both under 65 (MFJ)
22,1,High,Full-Time,52,Retail,Sales,Asian/Pacific, All other,Single,Nonrelative of householder,Native (Born Abroad),Asia,US,Asia,Single
21,1,College,Full-Time,52,Other professional services,Admin Support (include Clerical),White, All other,Single,Householder,Native,US,US,US,Single
48,0,College,Full-Time,52,Manufacturing (Durable),Management,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
6,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Nonrelative of householder,Native,US,US,US,Nonfiler
27,1,College,Full-Time,52,Hospitals,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
38,1,College,Children or Armed Forces,52,Public Administration,Admin Support (include Clerical),White, All other,Divorced,Householder,Native,US,US,US,Head of Household (HOH)
23,1,Bachelors degree,Full-Time,52,Entertainment,Sales,White, All other,Single,Child 18 or older,Native,US,US,US,Single
49,1,Bachelors degree,Full-Time,40,Hospitals,Admin Support (include Clerical),White, All other,Married,Householder,Foreign-born (Non-US Citizen),Europe,Europe,Europe,Married Filling Jointly both under 65 (MFJ)
25,1,High,Full-Time,20,Education,Admin Support (include Clerical),Native American/Aleut/Eskimo, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
22,0,College,Children or Armed Forces,52,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
19,0,College,Children or Armed Forces,52,Retail,Admin Support (include Clerical),White, All other,Single,Child 18 or older,Native,US,US,US,Single
19,1,High,Full-Time,1,Retail,Services,Black, All other,Single,Nonrelative of householder,Native,US,US,US,Single
9,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
69,1,Bachelors degree,Choice Part-Time,46,Social Services,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ)
24,0,College,Children or Armed Forces,52,Transportation,Handlers/Cleaners,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
48,0,High,Full-Time,52,Transportation,Transportation,Black, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
70,0,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Nonfiler
28,1,Bachelors degree,Choice Part-Time,52,Finance Insurance & Real Estate,Admin Support (include Clerical),White, All other,Single,Householder,Native,US,US,US,Single
41,0,High,Children or Armed Forces,52,Construction,Transportation,White, All other,Divorced,Householder,Native,US,US,US,Single
32,1,Associates degree (Vocational),Full-Time,52,Finance Insurance & Real Estate,Admin Support (include Clerical),White, All other,Single,Householder,Native,US,US,US,Single
30,1,Middle (7-8),Children or Armed Forces,52,Wholesale,Machine Operators & Inspectors,White, Mexican (Mexicano),Married,Spouse of householder,Foreign-born (Non-US Citizen),North America,North America,North America,Married Filling Jointly both under 65 (MFJ)
38,1,High,Seeking Full-Time,28,Education,Professional,White, Puerto Rican,Divorced,Householder,Native (Born in Puerto Rico or US Outlying),North America,North America,North America,Head of Household (HOH)
29,0,High,Children or Armed Forces,52,Manufacturing (Durable),Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
22,1,High,Full-Time,52,Manufacturing (Non-durable),Machine Operators & Inspectors,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
68,0,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Divorced,Householder,Native,US,US,US,Single
33,0,High,Full-Time,52,Retail,Services,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
1,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
47,0,High,Children or Armed Forces,52,Retail,Sales,White, All other,Married,Householder,Native (Born Abroad),Europe,US,Europe,Married Filling Jointly both under 65 (MFJ)
56,1,College,Not Working,0,Not in universe or children,Unknown,Asian/Pacific, All other,Married,Householder,Native,US,Asia,US,Nonfiler
82,1,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Spouse of householder,Native,US,US,US,Nonfiler
27,0,Bachelors degree,Full-Time,52,Other professional services,Professional,Other, All other,Single,Nonrelative of householder,Native,US,US,US,Single
49,0,High,Full-Time,52,Manufacturing (Non-durable),Craft & Repair,White, All other,Divorced,Householder,Native,US,US,US,Single
52,1,Associates degree (Vocational),Children or Armed Forces,52,Hospitals,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
43,1,Middle (7-8),Children or Armed Forces,52,Manufacturing (Non-durable),Machine Operators & Inspectors,Black, All other,Single,Householder,Native,US,US,US,Single
43,0,Bachelors degree,Children or Armed Forces,44,Medical (except Hospitals),Professional,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
12,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
52,1,Associates degree (Vocational),Full-Time,52,Hospitals,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
8,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
23,1,High,Children or Armed Forces,28,Communications,Admin Support (include Clerical),White, All other,Single,Householder,Native,US,US,US,Single
30,1,Associates degree (Academic),Children or Armed Forces,0,Retail,Sales,White, All other,Single,Nonrelative of householder,Native,US,US,US,Nonfiler
43,0,High,Part-Time (Usually Part-Time),8,Utilities & Sanitary,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
19,1,College,Full-Time,26,Business & Repair,Admin Support (include Clerical),White, All other,Single,Householder,Native,US,Europe,US,Single
22,1,College,Choice Part-Time,52,Education,Admin Support (include Clerical),Black, All other,Single,Child 18 or older,Native,US,US,US,Single
58,1,Bachelors degree,Full-Time,35,Retail,Sales,White, All other,Divorced,Nonrelative of householder,Native,US,US,US,Single
39,1,Bachelors degree,Children or Armed Forces,52,Hospitals,Admin Support (include Clerical),White, All other,Single,Child 18 or older,Native,US,US,US,Single
34,0,High,Children or Armed Forces,52,Retail,Services,Black, All other,Single,Householder,Native,US,US,US,Head of Household (HOH)
31,1,College,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
19,0,High,Full-Time,40,Education,Services,White, Other Spanish,Single,Nonrelative of householder,Native,US,US,US,Single
68,0,High,Children or Armed Forces,52,Retail,Services,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ)
80,1,High,Not Working,0,Not in universe or children,Unknown,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ)
24,1,College,Part-Time (Usually Part-Time),52,Public Administration,Admin Support (include Clerical),White, Mexican-American,Married,Other relative of householder,Native,US,US,North America,Married Filling Jointly both under 65 (MFJ)
76,1,Middle (7-8),Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ)
40,0,High,Children or Armed Forces,52,Business & Repair,Professional,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
61,1,High,Children or Armed Forces,42,Retail,Services,White, All other,Widowed,Householder,Native,US,Europe,Europe,Single
28,0,High,Full-Time,52,Manufacturing (Durable),Craft & Repair,White, All other,Single,Child 18 or older,Native,US,US,US,Single
22,1,Bachelors degree,Choice Part-Time,40,Retail,Sales,White, All other,Single,Child 18 or older,Native,US,US,US,Single
32,1,High,Not Working,0,Not in universe or children,Unknown,White, All other,Single,Nonrelative of householder,Native,US,US,US,Nonfiler
35,0,Bachelors degree,Full-Time,20,Manufacturing (Durable),Technicians & Support,White, Central or South American,Married,Householder,Foreign-born (Non-US Citizen),South America,South America,South America,Married Filling Jointly both under 65 (MFJ)
7,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
30,0,College,Full-Time,52,Construction,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
75,1,High,Children or Armed Forces,52,Education,Services,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ)
4,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
52,1,High,Full-Time,48,Transportation,Handlers/Cleaners,White, All other,Separated,Householder,Native,US,US,US,Single
33,1,Elementary(1-6),Children or Armed Forces,40,Education,Admin Support (include Clerical),White, Mexican (Mexicano),Married,Spouse of householder,Foreign-born (Non-US Citizen),North America,North America,North America,Married Filling Jointly both under 65 (MFJ)
25,1,Bachelors degree,Children or Armed Forces,52,Other professional services,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
35,0,High,Children or Armed Forces,6,Retail,Handlers/Cleaners,White, All other,Divorced,Child 18 or older,Native,US,US,US,Single
35,0,High,Children or Armed Forces,52,Manufacturing (Durable),Admin Support (include Clerical),White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
51,0,High,Full-Time,52,Transportation,Management,White, All other,Married,Householder,Native,US,Europe,Europe,Married Filling Jointly both under 65 (MFJ)
51,0,High,Children or Armed Forces,52,Transportation,Transportation,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
59,1,High,Children or Armed Forces,46,Retail,Sales,White, All other,Married,Spouse of householder,Native,US,US,Europe,Married Filling Jointly both under 65 (MFJ)
11,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
36,1,Associates degree (Academic),Full-Time,52,Public Administration,Management,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
38,1,Bachelors degree,Not Working,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
31,0,High,Children or Armed Forces,52,Construction,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
19,0,College,Children or Armed Forces,50,Retail,Services,Native American/Aleut/Eskimo, All other,Single,Other relative of householder,Native,US,US,US,Single
39,0,Associates degree (Vocational),Full-Time,52,Transportation,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
44,1,High,Children or Armed Forces,52,Education,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
58,0,High,Part-Time (Usually Part-Time),52,Agriculture,Farming & Forestry & Fishing,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
18,0,High,Children or Armed Forces,12,Agriculture,Farming & Forestry & Fishing,White, All other,Single,Child 18 or older,Native,US,US,US,Single
31,1,Bachelors degree,Children or Armed Forces,52,Manufacturing (Non-durable),Management,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
48,0,High,Children or Armed Forces,52,Manufacturing (Non-durable),Machine Operators & Inspectors,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
22,0,College,Full-Time,52,Wholesale,Transportation,White, All other,Single,Child 18 or older,Native,US,US,US,Single
20,1,College,Full-Time,52,Hospitals,Technicians & Support,White, All other,Single,Householder,Native,US,US,US,Single
41,0,Bachelors degree,Full-Time,52,Medical (except Hospitals),Professional,White, All other,Divorced,Nonrelative of householder,Native,US,US,US,Single
16,1,High Freshman,Not Working,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
48,1,High Freshman,Children or Armed Forces,24,Retail,Sales,White, All other,Divorced,Nonrelative of householder,Native,US,US,US,Single
33,1,High,Children or Armed Forces,52,Finance Insurance & Real Estate,Management,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
39,0,High,Children or Armed Forces,52,Retail,Sales,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
21,0,College,Full-Time,52,Business & Repair,Admin Support (include Clerical),Black, All other,Single,Child 18 or older,Foreign-born (Non-US Citizen),North America,North America,North America,Single
81,1,College,Not Working,0,Not in universe or children,Unknown,White, All other,Widowed,Householder,Native,US,US,US,Single
47,0,High,Choice Part-Time,52,Communications,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
31,0,Bachelors degree,Children or Armed Forces,52,Manufacturing (Durable),Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
43,1,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
34,0,High,Full-Time,52,Construction,Craft & Repair,White, Mexican (Mexicano),Single,Householder,Native,US,North America,North America,Single
54,0,High,Children or Armed Forces,52,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
87,0,College,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,Europe,Europe,Nonfiler
56,0,College,Full-Time,52,Transportation,Craft & Repair,White, All other,Married,Householder,Native,US,Europe,US,Married Filling Jointly both under 65 (MFJ)
24,1,Associates degree (Academic),Children or Armed Forces,52,Medical (except Hospitals),Management,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
26,0,Bachelors degree,Choice Part-Time,40,Entertainment,Farming & Forestry & Fishing,White, All other,Single,Child 18 or older,Native,US,US,US,Single
27,0,High,Children or Armed Forces,52,Retail,Sales,White, All other,Separated,Child 18 or older,Native,US,US,US,Single
37,1,High,Full-Time,52,Retail,Sales,White, All other,Single,Child 18 or older,Native,US,US,US,Single
33,1,Professional degree,Children or Armed Forces,48,Medical (except Hospitals),Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
30,0,High,Children or Armed Forces,52,Personal Services (except Private Household),Services,White, Puerto Rican,Single,Nonrelative of householder,Native (Born in Puerto Rico or US Outlying),North America,North America,North America,Single
41,1,High,Not Working,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Nonfiler
23,0,High,Full-Time,52,Retail,Services,White, All other,Single,Nonrelative of householder,Native,US,US,US,Single
17,0,High,Not Working,0,Not in universe or children,Unknown,White, Mexican-American,Single,Child under 18 never married,Native,US,US,US,Nonfiler
22,0,College,Children or Armed Forces,50,Retail,Services,White, All other,Single,Householder,Native,US,US,US,Single
31,0,High,Full-Time,52,Other professional services,Professional,White, Mexican-American,Married,Householder,Native (Born Abroad),Asia,US,US,Married Filling Jointly both under 65 (MFJ)
17,0,High,Seeking Part-Time,20,Retail,Handlers/Cleaners,White, All other,Single,Child under 18 never married,Native,US,US,US,Single
23,1,High,Full-Time,26,Retail,Services,White, All other,Single,Householder,Native,US,US,US,Head of Household (HOH)
72,0,Masters degree,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ)
31,1,High,Children or Armed Forces,8,Transportation,Admin Support (include Clerical),White, All other,Divorced,Householder,Native,US,US,US,Single
46,1,College,Children or Armed Forces,36,Education,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
62,1,College,Full-Time,30,Education,Admin Support (include Clerical),Black, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
5,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
40,1,High,Full-Time,52,Hospitals,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
17,1,High,Full-Time,52,Retail,Handlers/Cleaners,White, All other,Single,Child under 18 never married,Native,US,US,US,Single
31,0,High,Full-Time,52,Construction,Craft & Repair,White, Mexican-American,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
26,0,High,Children or Armed Forces,39,Construction,Craft & Repair,White, All other,Single,Child 18 or older,Native,US,US,US,Single
19,0,College,Children or Armed Forces,52,Retail,Sales,White, All other,Single,Child 18 or older,Native,US,US,US,Single
23,1,Bachelors degree,Children or Armed Forces,0,Not in universe or children,Unknown,Asian/Pacific, All other,Single,Householder,Foreign-born (Naturalized US Citizen),Asia,Asia,Asia,Nonfiler
35,1,High,Full-Time,52,Manufacturing (Non-durable),Craft & Repair,White, All other,Single,Householder,Native,US,US,US,Head of Household (HOH)
33,1,College,Children or Armed Forces,40,Construction,Management,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
77,0,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ)
1,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
40,1,Associates degree (Academic),Children or Armed Forces,49,Medical (except Hospitals),Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
38,0,Associates degree (Academic),Children or Armed Forces,52,Manufacturing (Non-durable),Admin Support (include Clerical),White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
27,0,High,Full-Time,40,Construction,Craft & Repair,Black, All other,Married,Child 18 or older,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
23,0,High Freshman,Full-Time,52,Retail,Machine Operators & Inspectors,White, All other,Separated,Householder,Native,US,US,US,Single
28,0,High,Children or Armed Forces,52,Business & Repair,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
51,1,High,Children or Armed Forces,52,Medical (except Hospitals),Services,White, All other,Married (Spouse Absent),Householder,Native,US,US,US,Head of Household (HOH)
22,1,College,Full-Time,52,Retail,Admin Support (include Clerical),White, All other,Single,Child 18 or older,Native,US,US,US,Single
52,0,High,Children or Armed Forces,52,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
1,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, Central or South American,Single,Nonrelative of householder,Native,US,North America,South America,Nonfiler
25,1,High,Full-Time,52,Retail,Sales,White, All other,Separated,Child 18 or older,Native,US,US,US,Head of Household (HOH)
23,0,College,Children or Armed Forces,26,Manufacturing (Non-durable),Handlers/Cleaners,White, All other,Single,Other relative of householder,Native,US,US,US,Single
33,1,Associates degree (Academic),Children or Armed Forces,52,Hospitals,Professional,White, All other,Single,Householder,Native,US,US,US,Single
64,0,College,Children or Armed Forces,52,Retail,Sales,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
30,1,Associates degree (Academic),Children or Armed Forces,52,Hospitals,Professional,White, All other,Single,Householder,Native,US,US,US,Single
39,1,Bachelors degree,Children or Armed Forces,15,Education,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
