ID,Age,Gender,Education_Status,Employment_Status,Working_Week (Yearly),Industry_Status,Occupation_Status,Race,Hispanic_Origin,Martial_Status,Household_Summary,Citizenship,Birth_Country,Birth_Country (Father),Birth_Country (Mother),Tax_Status,Income
TRAIN_00070,27,1,,Full-Time,52,Medical (except Hospitals),Admin Support (include Clerical),White, All other,Single,Child 18 or older,Native,US,US,US,Single,0
TRAIN_00072,34,0,,Full-Time,44,Finance Insurance & Real Estate,Management,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1000
TRAIN_00073,31,1,,Choice Part-Time,52,Manufacturing (Non-durable),Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00074,36,1,High,Children or Armed Forces,52,Social Services,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),500
TRAIN_00076,47,1,Elementary(1-6),Full-Time,52,Manufacturing (Durable),Craft & Repair,White, All other,Married,Householder,Foreign-born (Naturalized US Citizen),Italy,Italy,Italy,Married Filling Jointly both under 65 (MFJ),902
TRAIN_00077,25,0,High,Children or Armed Forces,52,Wholesale,Handlers/Cleaners,White, All other,Single,Other relative of householder,Native,US,US,US,Single,500
TRAIN_00078,41,1,High,Children or Armed Forces,52,Manufacturing (Non-durable),Machine Operators & Inspectors,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00079,19,0,High,Children or Armed Forces,40,Retail,Sales,White, All other,Single,Child 18 or older,Native,US,US,US,Single,500
TRAIN_00081,64,0,High,Children or Armed Forces,52,Construction,Craft & Repair,White, All other,Divorced,Householder,Native,US,US,US,Single,1570
TRAIN_00082,44,0,,Children or Armed Forces,52,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),2100
TRAIN_00083,27,1,High,Children or Armed Forces,12,Retail,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00084,52,0,High,Full-Time,52,Construction,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00085,22,0,,Full-Time,42,Education,Admin Support (include Clerical),White, All other,Single,Child 18 or older,Native,US,US,US,Single,475
TRAIN_00086,66,1,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly one over 65 & one under 65 (MFJ),0
TRAIN_00087,25,0,,Children or Armed Forces,52,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),700
TRAIN_00088,52,0,High,Full-Time,52,Manufacturing (Durable),Machine Operators & Inspectors,Black, All other,Married,Householder,Foreign-born (Non-US Citizen),Trinadad&Tobago,Trinadad&Tobago,Trinadad&Tobago,Married Filling Jointly both under 65 (MFJ),1400
TRAIN_00090,41,0,High,Children or Armed Forces,52,Manufacturing (Durable),Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1100
TRAIN_00091,35,0,,Full-Time,52,Finance Insurance & Real Estate,Management,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00092,49,0,,Part-Time (Usually Part-Time),52,Manufacturing (Durable),Professional,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1700
TRAIN_00094,27,0,,Children or Armed Forces,50,Retail,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),575
TRAIN_00095,21,0,Elementary(1-6),Children or Armed Forces,52,Manufacturing (Durable),Handlers/Cleaners,White, Mexican (Mexicano),Married,Householder,Foreign-born (Non-US Citizen),Mexico,Mexico,Mexico,Married Filling Jointly both under 65 (MFJ),600
TRAIN_00096,26,1,,Children or Armed Forces,52,Education,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1240
TRAIN_00097,29,1,,Full-Time,52,Retail,Sales,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),750
TRAIN_00098,52,0,High,Part-Time (Usually Full-Time),40,Manufacturing (Durable),Professional,White, All other,Married,Householder,Native,US,England,England,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00100,70,0,High,Children or Armed Forces,0,Not in universe or children,Unknown,Black, All other,Married,Spouse of householder,Native,US,Unknown,US,Married Filling Jointly both over 65 (MFJ),0
TRAIN_00101,30,1,,Children or Armed Forces,46,Medical (except Hospitals),Professional,White, All other,Divorced,Householder,Native,US,US,US,Head of Household (HOH),1800
TRAIN_00103,75,1,High,Children or Armed Forces,12,Not in universe or children,Unknown,White, Do not know,Widowed,Householder,Native,US,Italy,Italy,Single,0
TRAIN_00104,51,0,,Children or Armed Forces,30,Business & Repair,Machine Operators & Inspectors,White, All other,Married,Householder,Native,US,Unknown,US,Married Filling Jointly both under 65 (MFJ),500
TRAIN_00105,29,0,High,Full-Time,36,Manufacturing (Non-durable),Admin Support (include Clerical),Asian/Pacific, All other,Single,Householder,Foreign-born (Non-US Citizen),South Korea,South Korea,South Korea,Head of Household (HOH),0
TRAIN_00107,18,1,High,Children or Armed Forces,12,Education,Admin Support (include Clerical),White, All other,Single,Child 18 or older,Native,US,US,US,Single,435
TRAIN_00108,61,0,High,Children or Armed Forces,52,Mining,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00109,45,0,,Full-Time,49,Medical (except Hospitals),Professional,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00110,43,1,Elementary(1-6),Children or Armed Forces,52,Finance Insurance & Real Estate,Services,White, Mexican (Mexicano),Married,Spouse of householder,Foreign-born (Non-US Citizen),Mexico,Mexico,Mexico,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00111,45,1,,Full-Time,45,Education,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),725
TRAIN_00112,28,1,,Full-Time,52,Education,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00113,33,1,High,Children or Armed Forces,52,Manufacturing (Durable),Sales,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),800
TRAIN_00115,37,0,Elementary(1-6),Children or Armed Forces,40,Agriculture,Farming & Forestry & Fishing,White, Mexican-American,Married,Spouse of householder,Foreign-born (Naturalized US Citizen),Mexico,Mexico,Mexico,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00116,54,0,High,Full-Time,52,Business & Repair,Sales,White, All other,Single,Householder,Native,US,US,US,Single,800
TRAIN_00117,46,1,,Children or Armed Forces,52,Manufacturing (Durable),Technicians & Support,White, All other,Married,Spouse of householder,Foreign-born (Non-US Citizen),Iran,Iran,Iran,Married Filling Jointly both under 65 (MFJ),785
TRAIN_00121,48,1,,Full-Time,52,Hospitals,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1063
TRAIN_00122,71,0,,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ),0
TRAIN_00124,25,1,,Full-Time,46,Retail,Sales,Black, All other,Divorced,Nonrelative of householder,Native,US,US,US,Head of Household (HOH),500
TRAIN_00125,51,1,,Full-Time,52,Other professional services,Management,White, All other,Married,Spouse of householder,Foreign-born (Naturalized US Citizen),Iran,Iran,Iran,Married Filling Jointly both under 65 (MFJ),2000
TRAIN_00126,32,1,,Children or Armed Forces,52,Finance Insurance & Real Estate,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1187
TRAIN_00128,24,1,,Full-Time,52,Social Services,Professional,White, All other,Single,Other relative of householder,Native,US,US,US,Single,1100
TRAIN_00129,24,0,,Full-Time,52,Manufacturing (Durable),Craft & Repair,Other, Mexican (Mexicano),Single,Householder,Foreign-born (Non-US Citizen),England,England,England,Head of Household (HOH),850
TRAIN_00130,33,1,High,Children or Armed Forces,52,Personal Services (except Private Household),Machine Operators & Inspectors,Asian/Pacific, All other,Married,Spouse of householder,Foreign-born (Non-US Citizen),India,India,India,Married Filling Jointly both under 65 (MFJ),450
TRAIN_00132,37,1,High,Children or Armed Forces,52,Education,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1163
TRAIN_00136,21,0,High,Children or Armed Forces,40,Finance Insurance & Real Estate,Sales,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),625
TRAIN_00137,59,0,High,Children or Armed Forces,28,Social Services,Services,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),500
TRAIN_00138,35,0,,Children or Armed Forces,52,Manufacturing (Durable),Admin Support (include Clerical),White, All other,Single,Householder,Native,US,US,US,Single,800
TRAIN_00139,36,0,,Full-Time,52,Entertainment,Services,Asian/Pacific, All other,Married,Householder,Foreign-born (Non-US Citizen),Vietnam,China,Vietnam,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00141,44,1,High,Full-Time,52,Retail,Sales,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),600
TRAIN_00143,26,0,,Children or Armed Forces,52,Education,Protective Services,White, Other Spanish,Single,Child 18 or older,Native,US,Dominican-Republic,Dominican-Republic,Single,1000
TRAIN_00145,44,1,,Children or Armed Forces,52,Wholesale,Admin Support (include Clerical),Asian/Pacific, All other,Married,Spouse of householder,Foreign-born (Naturalized US Citizen),Philippines,Philippines,Philippines,Married Filling Jointly both under 65 (MFJ),1000
TRAIN_00146,35,1,,Full-Time,35,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),800
TRAIN_00147,35,0,,Children or Armed Forces,52,Other professional services,Management,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00149,30,0,,Children or Armed Forces,52,Public Administration,Protective Services,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00150,44,1,,Full-Time,52,Other professional services,Professional,White, All other,Single,Householder,Native,US,US,US,Head of Household (HOH),0
TRAIN_00151,30,1,,Full-Time,52,Manufacturing (Non-durable),Management,White, All other,Separated,Householder,Native,US,US,US,Single,1584
TRAIN_00152,48,0,High,Children or Armed Forces,52,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),800
TRAIN_00153,38,0,High,Children or Armed Forces,52,Utilities & Sanitary,Craft & Repair,White, All other,Single,Householder,Native,US,US,US,Single,2000
TRAIN_00154,61,0,High,Children or Armed Forces,49,Manufacturing (Durable),Transportation,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),700
TRAIN_00155,23,0,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Householder,Native,US,US,US,Single,0
TRAIN_00156,21,1,High,Children or Armed Forces,0,Retail,Sales,White, All other,Single,Nonrelative of householder,Native,US,US,US,Nonfiler,0
TRAIN_00158,59,0,High,Choice Part-Time,4,Manufacturing (Durable),Professional,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),5000
TRAIN_00159,33,1,High,Full-Time,52,Hospitals,Professional,Black, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),200
TRAIN_00160,33,1,High,Full-Time,2,Medical (except Hospitals),Technicians & Support,White, All other,Divorced,Nonrelative of householder,Native,US,US,US,Nonfiler,800
TRAIN_00161,32,1,,Choice Part-Time,52,Medical (except Hospitals),Professional,White, All other,Married,Spouse of householder,Native,US,US,Unknown,Married Filling Jointly both under 65 (MFJ),725
TRAIN_00162,27,1,High,Full-Time,36,Medical (except Hospitals),Services,White, Other Spanish,Single,Nonrelative of householder,Native,US,US,US,Single,0
TRAIN_00164,29,0,,Full-Time,52,Manufacturing (Durable),Management,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1000
TRAIN_00167,27,1,,Children or Armed Forces,52,Hospitals,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1672
TRAIN_00169,27,1,High,Full-Time,0,Retail,Sales,White, All other,Separated,Householder,Native,US,US,US,Nonfiler,600
TRAIN_00170,54,1,High,Full-Time,52,Other professional services,Professional,White, All other,Married,Spouse of householder,Native,US,Italy,US,Married Filling Jointly both under 65 (MFJ),750
TRAIN_00171,24,1,,Full-Time,44,Retail,Sales,Black, All other,Single,Householder,Native,US,US,US,Single,0
TRAIN_00173,67,1,High,Full-Time,52,Retail,Sales,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ),425
TRAIN_00174,35,1,,Choice Part-Time,52,Hospitals,Professional,White, All other,Divorced,Householder,Native,US,US,US,Single,0
TRAIN_00175,23,0,,Children or Armed Forces,52,Retail,Management,Black, All other,Single,Child 18 or older,Native,US,US,US,Single,700
TRAIN_00177,62,0,,Choice Part-Time,52,Manufacturing (Durable),Craft & Repair,White, All other,Divorced,Householder,Native,US,US,US,Single,1060
TRAIN_00178,33,0,,Children or Armed Forces,52,Medical (except Hospitals),Professional,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00179,50,1,High,Children or Armed Forces,8,Education,Services,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),435
TRAIN_00181,49,0,,Full-Time,52,Utilities & Sanitary,Craft & Repair,White, Puerto Rican,Married,Householder,Native (Born in Puerto Rico or US Outlying),Puerto-Rico,Puerto-Rico,Puerto-Rico,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00183,58,0,,Children or Armed Forces,52,Education,Professional,White, All other,Married,Householder,Native,US,England,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00184,30,0,,Children or Armed Forces,52,Public Administration,Technicians & Support,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1100
TRAIN_00185,41,0,,Children or Armed Forces,52,Transportation,Admin Support (include Clerical),White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1289
TRAIN_00186,35,1,High,Full-Time,52,Manufacturing (Durable),Services,White, All other,Single,Householder,Native,US,US,US,Single,710
TRAIN_00188,48,0,,Children or Armed Forces,26,Retail,Sales,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00189,44,1,High,Children or Armed Forces,52,Hospitals,Services,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00190,36,1,High,Children or Armed Forces,52,Finance Insurance & Real Estate,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00192,36,1,High,Full-Time,20,Retail,Services,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),550
TRAIN_00193,43,1,,Full-Time,24,Finance Insurance & Real Estate,Sales,White, All other,Divorced,Child 18 or older,Native,US,US,US,Head of Household (HOH),0
TRAIN_00194,51,0,High,Choice Part-Time,52,Business & Repair,Services,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00196,72,0,,Children or Armed Forces,48,Medical (except Hospitals),Professional,White, All other,Single,Householder,Native,US,Unknown,Unknown,Single,0
TRAIN_00200,26,0,,Full-Time,52,Entertainment,Professional,White, All other,Single,Nonrelative of householder,Native,US,US,US,Single,870
TRAIN_00201,32,0,,Full-Time,52,Communications,Craft & Repair,Black, All other,Single,Child 18 or older,Native,US,US,US,Single,825
TRAIN_00202,45,1,High,Full-Time,52,Social Services,Services,White, All other,Divorced,Householder,Native,US,US,US,Head of Household (HOH),700
TRAIN_00203,73,1,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ),0
TRAIN_00204,47,1,,Children or Armed Forces,52,Manufacturing (Durable),Machine Operators & Inspectors,Asian/Pacific, All other,Separated,Householder,Foreign-born (Non-US Citizen),India,India,India,Single,939
TRAIN_00205,47,1,High,Children or Armed Forces,52,Manufacturing (Non-durable),Machine Operators & Inspectors,White, All other,Divorced,Householder,Native,US,US,US,Head of Household (HOH),445
TRAIN_00206,42,0,High,Full-Time,52,Mining,Craft & Repair,White, Mexican-American,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00209,58,0,High,Children or Armed Forces,52,Retail,Services,White, All other,Divorced,Householder,Native,US,US,US,Single,600
TRAIN_00210,32,0,High,Children or Armed Forces,52,Manufacturing (Durable),Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1135
TRAIN_00211,28,0,High,Children or Armed Forces,52,Manufacturing (Durable),Machine Operators & Inspectors,Native American/Aleut/Eskimo, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1199
TRAIN_00212,17,0,High,Full-Time,0,Personal Services (except Private Household),Services,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler,425
TRAIN_00213,25,0,,Full-Time,52,Retail,Sales,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
